word1,count
hundred,80
bad,690
ideas,346
nothing,728
knowing,184
failing,35
might,1026
blowing,37
save,239
girl's,23
take,1862
toppings,15
accordingly,26
graduated,18
high,861
school,1119
quickly,311
smart,101
become,553
accountant,9
managed,200
somehow,163
connect,53
sports,82
editors,46
paper,696
send,229
games,257
north,287
south,378
carolina,80
write,545
became,308
identity,70
piece,468
news,423
bill,175
requiring,15
transvaginal,1
ultrasound,16
abortion,18
procedure,37
withdrawn,4
forward,398
trying,701
products,231
suggested,102
suggestions,79
skin,240
care,487
see,2948
doubles,10
tim,79
niehart,1
eddie,24
adkins,4
defeated,29
frantz,1
m,281
hall,114
sudden,59
glad,179
happened,354
feel,1410
completely,407
anxious,46
days,1231
felt,654
complete,279
anxiety,61
gladney,1
office,325
emotional,93
can't,996
imagine,268
these,2810
amazing,474
women,507
loving,177
puppeteer,1
were,4377
holes,77
sorrow,24
amy,45
kids,959
house,1121
seems,587
am,3482
also,3178
sad,219
since,1463
ran,217
aurifil,2
lasted,29
months,634
wait,452
maybe,754
old,1421
girl,570
being,1949
naughty,16
hmmmm,8
dog,264
bailed,5
ben,76
tupperware,10
cupboard,29
tsp,96
spices,57
cinnamon,75
nutmeg,16
allspice,4
prom,24
ers,4
walk,413
doors,117
grown,132
ups,72
ones,449
comfortable,157
game,436
glam,8
girls,419
especially,467
looked,485
longingly,5
quieter,10
candle,39
lit,51
talking,329
each,1559
other,3016
officious,1
chaperons,1
drinks,90
drunk,58
properly,72
pleasure,95
nicer,22
least,772
beautiful,667
green,493
emerald,11
jewelry,60
doctor,221
era,97
arts,85
&,1097
luck,136
warranty,12
either,485
express,97
implied,11
damage,113
template,47
own,1539
dang,17
fault,56
eugene,17
robinson,13
washington,76
blouse,22
cato,2
district,90
level,353
percent,149
title,206
iii,22
districts,9
reported,95
met,281
goals,94
making,949
progress,111
learning,271
english,237
attaining,1
proficiency,3
sixty,5
reached,110
goal,169
adequate,17
yearly,10
language,197
learner,6
subgroup,1
state,505
reading,655
math,85
assessments,8
indicators,9
such,1365
attendance,24
graduation,29
rates,64
according,261
study,183
based,360
want,2062
place,1373
kit,128
different,1044
sites,97
tornado,13
info,96
used,1547
night,1217
silence,66
deafeningly,1
loud,113
breakfast,148
morning,749
packed,113
lunch,274
headed,161
straight,209
coast,97
problem,405
live,720
counties,8
wonderful,582
coastline,6
opted,26
southwold,1
tried,438
windy,18
experiment,60
wanted,988
far,774
wind,180
move,410
ice,234
cream,387
eggs,191
immediately,205
kulfi,3
again,1548
indian,97
frozen,73
dessert,80
differences,35
research,204
made,2371
varieties,27
ways,335
astounding,11
same,1294
means,506
condensed,14
evaporated,5
milk,235
recipe,423
expecting,64
honest,155
anything,811
zapotes,1
let,1122
waste,90
motherhood,17
similar,243
every,1490
comes,609
sorts,83
easy,558
jackson,55
opening,173
mouth,181
doing,940
perhaps,460
bit,1245
knowledge,178
another,1541
mom,482
sharing,160
wisdom,92
self,438
reflecting,22
eden,17
slick,18
element,55
considerably,14
sound,334
oiled,10
their's,4
efforts,96
sex,175
pistols,10
comparison,52
many,2186
ballads,3
suggest,98
reunion,19
air,336
supply,87
eagles,6
glenn,15
frey's,1
love,3011
dance,216
possible,420
sappier,1
fake,46
nice,688
artificial,24
sweetener,6
please,699
natural,226
along,779
fine,360
seen,595
parts,197
film,371
hundreds,88
brings,147
smile,179
face,573
shiner,7
decided,811
re,253
release,206
regular,188
pours,29
jet,32
thin,132
dissipates,5
fairly,139
quick,310
dark,424
roasted,54
malt,93
taste,294
smooth,150
clean,277
finish,316
label,86
anniversary,93
bigger,145
thomas,77
keep,1099
music,609
kiss,80
dreams,163
goodbye,48
chase,36
disappear,33
trace,30
hear,440
joyful,18
noise,55
cures,2
heartache,5
march,275
october,166
lot,1223
reasons,196
wanting,126
lose,173
weight,266
i'll,800
blog,1449
collided,4
dreaded,14
bridesmaid,5
dress,298
sister,271
getting,1022
married,163
standing,183
wedding,249
husband,409
oldest,60
daughter,325
clearly,180
decent,91
huskier,1
variety,139
attitude,96
fun,1017
digress,17
let's,225
stick,183
dresses,82
must,859
away,1247
hour,381
someone,688
posted,199
interesting,457
article,214
facebook,231
says,443
recent,251
indicates,15
gay,82
men,452
sacrifice,51
lives,461
exchange,78
body,452
original,274
here,2769
resulting,32
feedback,67
generally,146
pretty,965
negative,99
she,5203
published,196
sold,176
patterns,102
say,1619
tea,253
understatement,15
therefore,167
master,108
remains,109
tonight,206
mighty,36
name,673
jesus,314
begin,236
sing,82
song,300
psalm,24
v,112
almighty,14
god,957
brought,283
miry,2
clay,46
bible,110
lord,302
turned,487
captivity,14
zion,6
dream,206
filled,232
laughter,42
tongue,55
singing,108
above,518
moment,476
laughing,85
joy,245
psi,1
account,136
sapphires,3
strictly,29
blue,408
common,222
occurrence,14
pink,267
orange,175
brown,363
exist,77
kristin,8
nelson,22
agency,87
runs,136
guru,14
what's,243
going,2210
industry,154
takes,347
educate,18
writers,168
abreast,1
