word1,count
sleep,1578
own,2673
bed,1258
winnie,12
bye,215
nobody,345
wants,984
lindsay,45
lohan,16
succeed,114
feel,3867
kind,1617
makes,2269
hard,2406
build,403
self,897
esteem,33
imagine,540
ny,379
perform,175
watch,2046
didn't,3153
liked,477
that's,4771
getting,3483
closer,269
interviewing,47
doesn't,1995
everyone,3392
beer,1369
around,3554
pm,2223
daily,526
oh,3859
debatable,6
goodmorning,68
texts,100
billion,243
local,1049
searches,22
every,3486
month,1441
translates,19
huge,942
opportunity,506
attract,60
customers,262
through,3401
internet,564
there,11547
some,11847
ballet,51
side,1499
streets,227
deduced,4
looking,3482
volume,117
case,1054
increased,111
workload,5
years,3341
ago,1439
comice,1
pears,9
could,5272
cover,769
app,582
features,215
foodtrucks,2
tweets,924
map,161
blog,1986
added,674
pats,56
bash,50
sat,583
nite,216
green,1024
bikini,44
contest,331
ladies,508
win,1966
tomorrowisapril,1
nd,683
quarter,270
smbmad,3
fyi,97
event,1138
hashtag,134
even,5541
yankee,40
fan,1102
houston,294
threw,185
didnt,321
sting,24
bad,2805
pitcher,79
thrown,130
congratss,1
different,1711
funny,1280
insightful,27
writer,318
appreciate,648
our,11123
relationship,462
an,13037
actor,144
burn,220
inside,834
outer,62
ease,96
happy,5747
wonderful,1216
donors,43
difference,449
clients,235
opening,595
additional,170
location,318
carmel,23
decided,1059
quit,212
smoking,157
serious,561
sent,731
sis,181
rt,3255
electric,136
cars,293
pollution,33
gasoline,22
powered,39
alternative,144
suck,376
single,852
std's,4
lies,242
deception,13
never,4925
ask,1392
beth,49
mind<,1
muse,44
returned,182
missed,811
hahahah,50
del,79
taco,169
you're,4313
noob,6
p,1865
everybody's,20
bitch,815
lmao,749
life,5460
short,966
take,4767
explain,303
met,708
they're,1125
kokomoans,1
nice,2857
meet,1350
series,865
pics,356
fave,98
four,965
until,2718
recess,21
unprepared,15
idk,307
dont,1373
lose,689
butt,271
newly,78
launched,97
model,355
trains,66
site,912
offers,223
guidance,60
information,729
enthusiasts,18
wife,665
won,680
rubbing,29
face,1421
jokes,138
taxes,173
wotd,1
announces,42
latest,363
album,650
april,811
player,421
piano,139
roll,469
o,1837
class,1670
there's,1640
anyone,2187
xo,171
lyra,6
cross,370
software,183
services,399
supplies,153
price,541
increases,73
honestly,323
say,4882
songoftheweek,1
fix,289
ps,190
article,540
publicly,58
rocks,235
interface,42
very,5476
friendly,259
able,1371
sych,1
mac,250
windows,265
iphone,408
helps,340
comprised,20
dagger,9
please,3553
crazy,1344
working,2250
json,4
serializations,1
marc,59
comparison,84
pbcore,2
easy,1121
mark,521
calendars,49
march,685
details,604
aw,311
had,11034
lot,2688
fun,3295
play,2340
food,2080
read,2361
you'll,996
sneeze,20
imma,145
shove,32
cotton,104
balls,253
nose,258
socks,136
throat,140
hahaha,599
running,1045
zero,132
hours,1612
aka,174
ready,2233
party,1845
san,659
antonio,100
indiana,164
consists,44
cornfields,6
white,1660
trash,159
mention,616
finished,835
wire,136
harlen,1
coben,2
highly,295
recommended,119
called,1575
sitting,658
front,901
porch,89
he's,1928
buddy,303
mine,889
america,606
default,59
his,9529
student,499
loans,81
degree,245
britain,87
china,253
paid,470
positive,407
bit,1920
foolish,27
forgot,512
username,50
shake,186
fist,53
chip,108
country,889
nicest,37
truck,245
yummy,202
moroccan,12
chicken,661
sub,102
pineapple,50
gave,930
chips,202
again,3806
hello,773
dm,568
till,625
comes,1275
visits,77
mad,649
town,1023
worry,443
damn,1239
thing,3495
guests,134
brought,497
cellar,34
treat,336
j,510
cole,93
retweet,313
ipad,302
free,2910
joke,338
bullshit,143
yourmotivated,1
trevaris,1
headphones,87
besides,200
tweet,2029
organizing,80
conference,665
planning,533
exotic,43
locale,6
contact,568
heh,60
i've,3994
signed,337
os,47
x,1035
history,897
gone,1020
cheese,622
meat,291
carbs,31
groups,261
said,4778
azalea,3
mind,1623
star,629
holiday,570
cards,597
tears,319
sadd,1
rite,97
sorry,1724
meant,546
promised,122
silly,234
join,922
industry,377
select,104
irish,179
whiskey's,2
beers,296
books,1227
slate,16
publication,65
specifics,16
sexualpickuplines,2
legs,271
lets,600
spread,448
word,1412
bring,1364
fans,1054
together,1845
games,1017
hear,2015
susan,86
g,634
komen,9
foundation,201
reversed,32
decision,426
parenthood,33
gives,519
many,4226
women,1163
access,367
healthcare,77
sore,123
