word1,count
lindsay,33
lohan,15
succeed,76
feel,2389
kind,838
makes,1347
hard,1476
build,232
self,435
esteem,13
imagine,261
ny,336
perform,115
watch,1602
didn't,1762
liked,258
that's,3528
getting,2392
closer,143
interviewing,35
doesn't,1222
everyone,2492
beer,606
around,1440
pm,1878
daily,245
oh,3207
debatable,4
goodmorning,67
texts,79
billion,97
local,457
searches,11
every,1889
month,688
translates,9
huge,520
opportunity,222
attract,26
customers,119
through,1246
internet,341
there,5939
some,6032
ballet,26
side,595
streets,109
deduced,2
looking,2500
volume,54
case,400
increased,35
workload,3
years,1246
ago,602
comice,1
pears,1
could,2527
cover,378
app,537
features,55
foodtrucks,2
tweets,905
map,83
blog,532
added,171
pats,50
bash,41
sat,343
nite,215
green,485
bikini,32
contest,227
ladies,387
win,1575
tomorrowisapril,1
nd,552
quarter,133
smbmad,3
fyi,90
event,779
hashtag,129
even,2543
yankee,34
fan,888
houston,261
threw,107
didnt,294
sting,15
bad,2055
pitcher,48
thrown,63
congratss,1
different,609
funny,1004
insightful,20
writer,108
appreciate,509
our,5862
relationship,240
an,6326
actor,82
burn,133
inside,349
outer,23
ease,33
happy,4789
wonderful,626
donors,25
difference,233
clients,167
opening,393
additional,36
location,173
carmel,12
decided,213
quit,167
smoking,91
serious,335
sent,422
sis,171
rt,3250
electric,61
cars,156
pollution,7
gasoline,7
powered,20
alternative,48
suck,326
single,455
std's,3
lies,135
deception,6
never,3137
ask,895
beth,22
mind<,1
muse,18
returned,48
missed,622
hahahah,49
del,57
taco,136
you're,3663
noob,5
p,1453
everybody's,16
bitch,777
lmao,749
life,3330
short,449
take,2739
explain,163
met,393
they're,722
kokomoans,1
nice,2146
meet,998
series,425
pics,264
fave,83
four,306
until,1167
recess,11
unprepared,5
idk,306
dont,1326
lose,498
butt,195
newly,23
launched,50
model,197
trains,28
site,576
offers,106
guidance,19
information,227
enthusiasts,8
wife,374
won,436
rubbing,16
face,813
jokes,108
taxes,91
wotd,1
announces,33
latest,185
album,446
april,398
player,296
piano,82
roll,267
o,1624
class,1162
there's,953
anyone,1650
xo,163
lyra,3
cross,162
software,96
services,171
supplies,28
price,235
increases,24
honestly,204
say,3099
songoftheweek,1
fix,204
ps,127
article,318
publicly,24
rocks,151
interface,27
very,2465
friendly,113
able,496
sych,1
mac,178
windows,112
iphone,356
helps,171
comprised,6
dagger,7
please,2836
crazy,1011
working,1483
json,4
serializations,1
marc,37
comparison,28
pbcore,2
easy,532
mark,302
calendars,36
march,338
details,341
aw,306
had,4175
lot,1334
fun,2248
play,1616
food,1151
read,1178
you'll,669
sneeze,17
imma,143
shove,18
cotton,30
balls,161
nose,126
socks,87
throat,84
hahaha,589
running,557
zero,70
hours,920
aka,118
ready,1687
party,1261
san,489
antonio,83
indiana,128
consists,19
cornfields,5
white,671
trash,104
mention,425
finished,458
wire,41
harlen,1
coben,1
highly,141
recommended,35
called,696
sitting,339
front,375
porch,35
he's,1308
buddy,265
mine,560
america,346
default,29
his,3293
student,306
loans,30
degree,107
britain,7
china,103
paid,262
positive,234
bit,645
foolish,17
forgot,393
username,46
shake,124
fist,37
chip,69
country,408
nicest,31
truck,163
yummy,131
moroccan,4
chicken,314
sub,56
pineapple,28
gave,409
chips,93
again,2162
hello,607
dm,558
till,498
comes,608
visits,33
mad,522
town,580
worry,274
damn,1142
thing,2084
guests,54
brought,186
cellar,22
treat,209
j,298
cole,64
retweet,313
ipad,266
free,1979
joke,286
bullshit,129
yourmotivated,1
trevaris,1
headphones,71
besides,111
tweet,2008
organizing,43
conference,456
planning,311
exotic,17
locale,6
contact,373
heh,44
i've,2128
signed,216
os,36
x,689
history,464
gone,607
cheese,302
meat,120
carbs,19
groups,73
said,1690
azalea,2
mind,928
star,389
holiday,318
cards,193
tears,146
sadd,1
rite,87
sorry,1469
meant,306
promised,41
silly,132
join,701
industry,188
select,47
